time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
37820.8121606413,0.013460630994909465,0.27341717494619183,261.69052582251084,,34245.365597551245,,0.04196907131230593,,20649055.67743501,-0.04496707948259502,,,,0.8,136000.0,,-1.6717732151033033,0.0,571.9586470167403,462.8150662091818
37902.461818734075,0.012250551272905195,0.2221644335808091,290.27693166375377,,29754.634402448763,,0.03410186268600716,,20794912.826502003,-0.04999775203065624,,,,0.8,136000.0,,-2.4107673710553685,0.0,688.9267366168751,472.0350197742486
37928.30365635435,0.01195260549466864,0.20837540764840945,299.71309477485244,,28333.333333333336,,0.03198527065846534,,20841076.115485568,-0.051890999134986356,,,,0.8,136000.0,,-2.640514229838032,0.0,732.0660666666666,474.917065047625
37928.30365635435,0.01195260549466864,0.20837540764840945,299.71309477485244,,28333.333333333336,,0.03198527065846534,,20841076.115485568,-0.051890999134986356,,,,0.8,136000.0,,-2.640514229838032,0.0,732.0660666666666,474.917065047625
37987.47882730797,0.011381796542233112,0.18044142418751416,322.03478292274156,,25078.69893088458,,0.027697451708767654,,20946785.336227655,-0.05685572210102553,,,,0.8,136000.0,,-3.1706458313776436,0.0,830.8507300497913,481.4522292334239
38069.12848540074,0.010859240172697637,0.15269473352385488,349.99999999999994,,20587.96773578209,,0.023777138061283766,,21092642.485294648,-0.06374310212622446,,,,0.7898575849402508,136000.0,,-3.7898810650926134,0.0,981.5910914967757,484.11367726470644
38094.97032302102,0.01087027373971294,0.15269477245451035,349.99999999999994,,19166.666666666668,,0.02450547744903736,,21138805.774278216,-0.06355702489283403,,,,0.7667550145092635,136000.0,,-3.7374888519844474,0.0,1016.7031732258553,472.61553924586855
38094.97032302102,0.01087027373971294,0.15269477245451035,349.99999999999994,,19166.666666666668,,0.02450547744903736,,21138805.774278216,-0.06355702489283403,,,,0.7667550145092635,136000.0,,-3.7374888519844474,0.0,1016.7031732258553,472.61553924586855
38154.14549397463,0.0108868645875462,0.15269574085817647,350.0000000000001,,15912.032264217916,,0.025896048190964915,,21244514.99502031,-0.06303434185365468,,,,0.7172429184369321,136000.0,,-3.6278674851895754,0.0,1102.5324236683264,447.7476800549418
38235.7951520674,0.010897637043296469,0.1526986129793702,349.9999999999999,,11421.30106911542,,0.027363996456424653,,21390372.1440873,-0.06210767894519694,,,,0.6558770164864065,136000.0,,-3.4906663713492367,0.0,1238.1321065134912,416.46662596187656
38261.636989687686,0.010898597113613422,0.15269971017986958,349.99999999999994,,10000.000000000002,,0.02774837144561574,,21436535.433070865,-0.061790338460759424,,,,0.6379632201243076,136000.0,,-3.4504610362912937,0.0,1282.1436309756996,407.23174426072217
38261.636989687686,0.014124298662139153,0.2995656081248465,250.0,,10000.000000000002,,0.06040004876755699,,21436535.433070865,-0.03866859384612389,,,,0.45568801437450535,136000.0,,-0.25487935032308145,0.0,1145.3183609129003,290.87981732908725
38298.164154027814,0.014119586780237071,0.29956423300364693,250.0,,9342.51104187767,,0.060545316383276024,,21501786.75412476,-0.0384720330887063,,,,0.44993066547683636,136000.0,,-0.23529402722452997,0.0,1169.9141598860751,287.9004984603068
38377.02005867266,0.01410906421014601,0.2995611976142469,250.0,,7923.1047582704905,,0.06084293106739167,,21642653.203626934,-0.038042129033844345,,,,0.4378385833372612,136000.0,,-0.19361027396443345,0.0,1223.6099619363029,281.6189555199581
38482.30123030191,0.014094353241984665,0.29955709890671905,250.0,,6028.043668943952,,0.06120885262059756,,21830725.16746574,-0.037470938253362424,,,,0.42238201830965827,136000.0,,-0.13991769231446702,0.0,1294.621652956832,273.54138264149566
38593.14464454711,0.014078125795617569,0.2995524785222882,250.0,,4032.8622125303887,,0.061559211250997836,,22028733.398881555,-0.03683896272112211,,,,0.40690683289114893,136000.0,,-0.08363409072364344,0.0,1373.2124678498228,265.39733296592385
38687.59768985344,0.014063780211359728,0.29954822262889685,250.0,,2332.707397016359,,0.06183238643210174,,22197462.236587446,-0.0362689418391096,,,,0.39432949726270733,136000.0,,-0.03532251500502604,0.0,1444.2307252452802,258.7352043665303
38746.9787761078,0.014054539567488904,0.2995453569267832,250.0,,1263.847844438064,,0.061993220560830876,,22303539.29988291,-0.035891901009668666,,,,0.38669455912109535,136000.0,,-0.004504549996105231,0.0,1491.3183803170427,254.67116506822694
38761.636989687686,0.014052236354650161,0.2995446296486268,250.0,,1000.0,,0.062031692976827514,,22329724.409448817,-0.03579709377310025,,,,0.3848414959506301,136000.0,,0.0031318115908421274,0.0,1503.167840481679,253.68253284663746
